"country","Description","rankedProduct","percentRevenue","percentUnits","unitRevGap"
Denmark,RED  HARMONICA IN BOX ,1,1.68,3.52,1.84
Denmark,SET OF 6 TEA TIME BAKING CASES,2,1.58,3.42,1.84
Denmark,GUMBALL COAT RACK,3,3.06,3.30,0.24
EIRE,PACK OF 72 RETROSPOT CAKE CASES,1,0.33,1.21,0.88
EIRE,"60 TEATIME FAIRY CAKE CASES",2,0.27,1.08,0.81
EIRE,VINTAGE SNAP CARDS,3,0.43,1.05,0.62
European Community,RED ROCKING HORSE HAND PAINTED,1,2.32,4.83,2.51
European Community,WHITE ROCKING HORSE HAND PAINTED,2,2.32,4.83,2.51
European Community,SET OF 60 PANTRY DESIGN CAKE CASES ,3,1.02,4.83,3.81
Finland,CHILDRENS CUTLERY POLKADOT PINK,1,8.15,4.50,-3.65
Finland,CHILDRENS CUTLERY POLKADOT BLUE,2,5.32,2.81,-2.51
Finland,DOUGHNUT LIP GLOSS ,3,1.12,1.88,0.76
France,RABBIT NIGHT LIGHT,1,3.69,3.64,-0.05
France,MINI PAINT SET VINTAGE ,2,0.72,1.99,1.27
France,RED TOADSTOOL LED NIGHT LIGHT,3,1.10,1.19,0.09
Germany,ROUND SNACK BOXES SET OF4 WOODLAND ,1,1.60,1.04,-0.56
Germany,ASSORTED COLOURS SILK FAN,2,0.38,0.99,0.61
Germany,POSTAGE,3,9.39,0.94,-8.45
Greece,"4 LAVENDER BOTANICAL DINNER CANDLES",1,1.27,3.08,1.81
Greece,"4 PEAR BOTANICAL DINNER CANDLES",2,1.27,3.08,1.81
Greece,SET OF 4 NAPKIN CHARMS CUTLERY,3,1.43,2.06,0.63
Hong Kong,ROUND SNACK BOXES SET OF4 WOODLAND ,1,3.80,3.15,-0.65
Hong Kong,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2,0.41,3.02,2.61
Hong Kong,BLUE POLKADOT BOWL,3,1.48,2.52,1.04
Iceland,ICE CREAM SUNDAE LIP GLOSS,1,5.79,9.76,3.97
Iceland,"3D DOG PICTURE PLAYING CARDS",2,8.62,5.13,-3.49
Iceland,MINI PAINT SET VINTAGE ,3,1.63,4.39,2.76
Israel,WOODLAND CHARLOTTE BAG,1,1.23,2.99,1.76
Israel,RED RETROSPOT CHARLOTTE BAG,2,1.02,2.53,1.51
Israel,ROUND SNACK BOXES SET OF4 WOODLAND ,3,3.10,2.21,-0.89
Italy,"FEATHER PEN,HOT PINK",1,0.82,3.00,2.18
Italy,ICE CREAM BUBBLES,2,0.85,2.50,1.65
Italy,"FEATHER PEN,COAL BLACK",3,0.58,2.10,1.52
Japan,RABBIT NIGHT LIGHT,1,17.23,13.49,-3.74
Japan,PACK OF 12 TRADITIONAL CRAYONS,2,1.26,4.76,3.50
Japan,ROUND SNACK BOXES SET OF 4 FRUITS ,3,6.28,3.45,-2.83
Lebanon,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,1,0.78,6.22,5.44
Lebanon,PARTY BUNTING,2,4.12,3.89,-0.23
Lebanon,SET OF 3 CAKE TINS PANTRY DESIGN ,3,3.51,3.11,-0.40
Lithuania,RED  HARMONICA IN BOX ,1,3.61,7.36,3.75
Lithuania,FELTCRAFT DOLL ROSIE,2,7.37,7.36,-0.01
Lithuania,GREY FLORAL FELTCRAFT SHOULDER BAG,3,8.13,5.52,-2.61
Malta,GRAND CHOCOLATECANDLE,1,4.34,7.94,3.60
Malta,CHRISTMAS PUDDING TRINKET POT ,2,1.21,5.93,4.72
Malta,WRAP CHRISTMAS VILLAGE,3,0.42,2.65,2.23
Netherlands,RABBIT NIGHT LIGHT,1,3.36,2.40,-0.96
Netherlands,SPACEBOY LUNCH BOX ,2,2.63,2.26,-0.37
Netherlands,DOLLY GIRL LUNCH BOX,3,2.40,2.06,-0.34
Norway,SMALL FOLDING SCISSOR(POINTED EDGE),1,0.20,2.99,2.79
Norway,GROW A FLYTRAP OR SUNFLOWER IN TIN,2,1.53,2.62,1.09
Norway,FENG SHUI PILLAR CANDLE,3,0.21,2.00,1.79
Poland,STRAWBERRY CERAMIC TRINKET BOX,1,2.31,3.94,1.63
Poland,CERAMIC CAKE DESIGN SPOTTED MUG,2,2.53,3.78,1.25
Poland,JAM MAKING SET PRINTED,3,2.17,2.96,0.79
Portugal,POLKADOT PEN,1,0.69,1.48,0.79
Portugal,"60 TEATIME FAIRY CAKE CASES",2,0.36,1.35,0.99
Portugal,LUNCH BAG RED RETROSPOT,3,1.21,1.33,0.12
RSA,PACK OF 6 BIRDY GIFT TAGS,1,1.50,3.41,1.91
RSA,ASSORTED BOTTLE TOP  MAGNETS ,2,0.50,3.41,2.91
RSA,SET OF 20 KIDS COOKIE CUTTERS,3,2.51,3.41,0.90
Saudi Arabia,ASSORTED BOTTLE TOP  MAGNETS ,1,3.84,16.00,12.16
Saudi Arabia,PLASTERS IN TIN SKULLS,2,15.09,16.00,0.91
Saudi Arabia,HOMEMADE JAM SCENTED CANDLES,3,13.27,16.00,2.73
Singapore,CHRISTMAS TREE PAINTED ZINC ,1,1.94,7.34,5.40
Singapore,PARTY PIZZA DISH RED RETROSPOT,2,1.76,4.59,2.83
Singapore,SMALL POPCORN HOLDER,3,1.58,3.82,2.24
Spain,CHILDRENS CUTLERY POLKADOT PINK,1,5.00,2.72,-2.28
Spain,CHILDRENS CUTLERY POLKADOT BLUE,2,4.47,2.43,-2.04
Spain,LUNCH BAG CARS BLUE,3,1.48,2.08,0.60
Sweden,MINI PAINT SET VINTAGE ,1,5.18,8.18,3.00
Sweden,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2,1.83,6.47,4.64
Sweden,BUBBLEGUM RING ASSORTED,3,1.24,3.03,1.79
Switzerland,PLASTERS IN TIN WOODLAND ANIMALS,1,1.73,2.11,0.38
Switzerland,ROUND SNACK BOXES SET OF4 WOODLAND ,2,2.30,1.58,-0.72
Switzerland,PLASTERS IN TIN SPACEBOY,3,1.30,1.54,0.24
United Arab Emirates,ASSORTED CHEESE FRIDGE MAGNETS,1,2.46,7.33,4.87
United Arab Emirates,BIG DOUGHNUT FRIDGE MAGNETS,2,3.22,7.33,4.11
United Arab Emirates,MINI PAINT SET VINTAGE ,3,1.23,3.67,2.44
United Kingdom,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,0.15,1.13,0.98
United Kingdom,JUMBO BAG RED RETROSPOT,2,1.03,1.01,-0.02
United Kingdom,POPCORN HOLDER,3,0.40,0.81,0.41
Unspecified,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,0.59,2.91,2.32
Unspecified,ICE CREAM SUNDAE LIP GLOSS,2,1.26,1.45,0.19
Unspecified,"72 SWEETHEART FAIRY CAKE CASES",3,0.56,1.45,0.89
USA,SET 12 COLOURING PENCILS DOILY,1,3.30,8.51,5.21
USA,"12 PENCILS SMALL TUBE RED RETROSPOT",2,2.70,6.96,4.26
USA,SET 6 SCHOOL MILK BOTTLES IN CRATE,3,9.40,4.64,-4.76
